Resource Type,Plain Text,Check Type,Check Template,Operand1,Operand2,Operand3,Operand4,Operand5,Operand6,Operand7,Operand8
azurerm_network_security_rule,"If azurerm_network_security_rule.a.network_security_group_name depends on azurerm_network_security_group.b.name, Then azurerm_network_security_rule.a.name != azurerm_network_security_group.b.security_rule.name",COMBO,ReferenceThenUnequalCombo,azurerm_network_security_rule.network_security_group_name == String,azurerm_network_security_group.name == String,azurerm_network_security_rule.name == String,azurerm_network_security_group.security_rule.name == String,,,,
azurerm_postgresql_flexible_server,"If azurerm_postgresql_flexible_server.a.create_mode is not null nor empty, Then azurerm_postgresql_flexible_server.a.delegated_subnet_id depends on azurerm_subnet.b.id",COMBO,ExistenceComboDownThenReference,azurerm_postgresql_flexible_server.create_mode == Existence,azurerm_postgresql_flexible_server.delegated_subnet_id == String,azurerm_subnet.id == String,,,,,
azurerm_postgresql_flexible_server,"If azurerm_postgresql_flexible_server.a.delegated_subnet_id depends on azurerm_subnet.b.id, Then azurerm_subnet.b.delegation is not null nor empty",COMBO,ReferenceThenExistenceComboUp,azurerm_postgresql_flexible_server.delegated_subnet_id == String,azurerm_subnet.id == String,azurerm_subnet.delegation == Existence,,,,,
azurerm_postgresql_flexible_server,"If azurerm_postgresql_flexible_server.a.source_server_id depends on azurerm_postgresql_flexible_server.b.id, Then azurerm_postgresql_flexible_server.a.location == azurerm_postgresql_flexible_server.b.location",COMBO,ReferenceThenEqualCombo,azurerm_postgresql_flexible_server.source_server_id == String,azurerm_postgresql_flexible_server.id == String,azurerm_postgresql_flexible_server.location == String,azurerm_postgresql_flexible_server.location == String,,,,
azurerm_postgresql_server,"If there is azurerm_postgresql_server.a.sku_name == B_Gen5_1, Then there cannot be azurerm_postgresql_server.a.geo_redundant_backup_enabled == True",ATTR,ConstantThenNonConstant,azurerm_postgresql_server.sku_name == B_Gen5_1,azurerm_postgresql_server.geo_redundant_backup_enabled == True,,,,,,
azurerm_postgresql_server,"If there is azurerm_postgresql_server.a.ssl_enforcement_enabled == false, Then there is azurerm_postgresql_server.a.ssl_minimal_tls_version_enforced == TLSEnforcementDisabled",ATTR,ConstantThenConstant,azurerm_postgresql_server.ssl_enforcement_enabled == false,azurerm_postgresql_server.ssl_minimal_tls_version_enforced == TLSEnforcementDisabled,,,,,,
azurerm_private_dns_resolver,"If azurerm_private_dns_resolver.a.virtual_network_id depends on azurerm_virtual_network.b.id, Then azurerm_private_dns_resolver.a.location == azurerm_virtual_network.b.location",COMBO,ReferenceThenEqualCombo,azurerm_private_dns_resolver.virtual_network_id == String,azurerm_virtual_network.id == String,azurerm_private_dns_resolver.location == String,azurerm_virtual_network.location == String,,,,
azurerm_private_dns_resolver_inbound_endpoint,"If azurerm_private_dns_resolver_inbound_endpoint.a.ip_configurations.0.subnet_id depends on azurerm_subnet.b.id, Then azurerm_private_dns_resolver_inbound_endpoint.a is the only resource that directly depends on azurerm_subnet.b",TOPO,ReferenceThenExclusive,azurerm_private_dns_resolver_inbound_endpoint.ip_configurations.0.subnet_id == String,azurerm_subnet.id == String,azurerm_private_dns_resolver_inbound_endpoint.PLACEHOLDER == String,azurerm_subnet.PLACEHOLDER == String,,,,
azurerm_private_dns_resolver_outbound_endpoint,"If azurerm_private_dns_resolver_outbound_endpoint.a.subnet_id depends on azurerm_subnet.b.id, Then azurerm_private_dns_resolver_outbound_endpoint.a is the only resource that directly depends on azurerm_subnet.b",TOPO,ReferenceThenExclusive,azurerm_private_dns_resolver_outbound_endpoint.subnet_id == String,azurerm_subnet.id == String,azurerm_private_dns_resolver_outbound_endpoint.PLACEHOLDER == String,azurerm_subnet.PLACEHOLDER == String,,,,
azurerm_private_dns_resolver_outbound_endpoint,"If azurerm_private_dns_resolver_outbound_endpoint.a.subnet_id depends on azurerm_subnet.b.id, Then azurerm_subnet.b.address_prefixes range cannot be smaller than 28",COMBO,ReferenceThenCIDRRangeComboUp,azurerm_private_dns_resolver_outbound_endpoint.subnet_id == String,azurerm_subnet.id == String,azurerm_subnet.address_prefixes == 28,,,,,
azurerm_private_dns_resolver_outbound_endpoint,"If azurerm_private_dns_resolver.b and azurerm_subnet.c connected or associated with each other via azurerm_private_dns_resolver_outbound_endpoint.a, Then both azurerm_private_dns_resolver.b.virtual_network_id and azurerm_subnet.c.virtual_network_name depends on azurerm_virtual_network.d",TOPO,AssociateThenBranch,azurerm_private_dns_resolver_outbound_endpoint.private_dns_resolver_id == String,azurerm_private_dns_resolver_outbound_endpoint.subnet_id == String,azurerm_private_dns_resolver.id == String,azurerm_subnet.id == String,azurerm_private_dns_resolver.virtual_network_id == String,azurerm_subnet.virtual_network_name == String,azurerm_virtual_network.id == String,azurerm_virtual_network.name == String
azurerm_private_endpoint,"If azurerm_private_endpoint.a has an ancestor resource azurerm_virtual_network.b, Then azurerm_private_endpoint.a.location == azurerm_virtual_network.b.location",COMBO,AncestorReferenceThenEqualCombo,azurerm_private_endpoint.PLACEHOLDER == String,azurerm_virtual_network.PLACEHOLDER == String,azurerm_private_endpoint.location == String,azurerm_virtual_network.location == String,,,,
azurerm_private_link_service,"If azurerm_private_link_service.a has an ancestor resource azurerm_virtual_network.b, Then azurerm_private_link_service.a.location == azurerm_virtual_network.b.location",COMBO,AncestorReferenceThenEqualCombo,azurerm_private_link_service.PLACEHOLDER == String,azurerm_virtual_network.PLACEHOLDER == String,azurerm_private_link_service.location == String,azurerm_virtual_network.location == String,,,,
azurerm_private_link_service,"If azurerm_private_link_service.a.nat_ip_configuration.private_ip_address is not null nor empty, Then azurerm_private_link_service.a.nat_ip_configuration.name != azurerm_private_link_service.a.nat_ip_configuration.name",ATTR,ExistenceThenUnequal,azurerm_private_link_service.nat_ip_configuration.private_ip_address == Existence,azurerm_private_link_service.nat_ip_configuration.name == String,azurerm_private_link_service.nat_ip_configuration.name == String,,,,,
azurerm_private_link_service,"If azurerm_private_link_service.a.nat_ip_configuration.private_ip_address_version == azurerm_private_link_service.a.nat_ip_configuration.private_ip_address_version, Then azurerm_private_link_service.a.nat_ip_configuration.name != azurerm_private_link_service.a.nat_ip_configuration.name",ATTR,EqualThenUnequal,azurerm_private_link_service.nat_ip_configuration.private_ip_address_version == String,azurerm_private_link_service.nat_ip_configuration.private_ip_address_version == String,azurerm_private_link_service.nat_ip_configuration.name == String,azurerm_private_link_service.nat_ip_configuration.name == String,,,,
azurerm_public_ip,"If azurerm_public_ip.a.zones is not null nor empty, Then there is azurerm_public_ip.a.sku == Standard",ATTR,ExistenceThenConstant,azurerm_public_ip.zones == Existence,azurerm_public_ip.sku == Standard,,,,,,
azurerm_public_ip,"If there is azurerm_public_ip.a.ip_version == IPv6, Then there is azurerm_public_ip.a.sku == Standard",ATTR,ConstantThenConstant,azurerm_public_ip.ip_version == IPv6,azurerm_public_ip.sku == Standard,,,,,,
azurerm_public_ip,"If there is azurerm_public_ip.a.sku_tier == Global, Then there is azurerm_public_ip.a.sku == Standard",ATTR,ConstantThenConstant,azurerm_public_ip.sku_tier == Global,azurerm_public_ip.sku == Standard,,,,,,
azurerm_redis_cache,"If azurerm_redis_cache.a has an ancestor resource azurerm_virtual_network.b, Then azurerm_redis_cache.a.location == azurerm_virtual_network.b.location",COMBO,AncestorReferenceThenEqualCombo,azurerm_redis_cache.PLACEHOLDER == String,azurerm_virtual_network.PLACEHOLDER == String,azurerm_redis_cache.location == String,azurerm_virtual_network.location == String,,,,
azurerm_redis_cache,"If azurerm_redis_cache.a.subnet_id depends on azurerm_subnet.b.id, Then azurerm_redis_cache.a is the only resource that directly depends on azurerm_subnet.b",TOPO,ReferenceThenExclusive,azurerm_redis_cache.subnet_id == String,azurerm_subnet.id == String,azurerm_redis_cache.PLACEHOLDER == String,azurerm_subnet.PLACEHOLDER == String,,,,
azurerm_redis_cache,"If azurerm_redis_cache.a.subnet_id depends on azurerm_subnet.b.id, Then azurerm_subnet.b.delegation is null or empty",COMBO,ReferenceThenAbsenceComboUp,azurerm_redis_cache.subnet_id == String,azurerm_subnet.id == String,azurerm_subnet.delegation == Absence,,,,,
azurerm_redis_cache,"If there is azurerm_redis_cache.a.sku_name == Premium, Then there cannot be azurerm_redis_cache.a.family == C",ATTR,ConstantThenNonConstant,azurerm_redis_cache.sku_name == Premium,azurerm_redis_cache.family == C,,,,,,
azurerm_route,"If azurerm_route.a.route_table_name depends on azurerm_route_table.b.name, Then both azurerm_route.a.resource_group_name and azurerm_route_table.b.resource_group_name depends on azurerm_resource_group.c",TOPO,ReferenceThenBranch,azurerm_route.route_table_name == String,azurerm_route_table.name == String,azurerm_route.resource_group_name == String,azurerm_route_table.resource_group_name == String,azurerm_resource_group.name == String,azurerm_resource_group.name == String,,
azurerm_route_server,"If azurerm_route_server.a.public_ip_address_id depends on azurerm_public_ip.b.id, Then azurerm_route_server.a.location == azurerm_public_ip.b.location",COMBO,ReferenceThenEqualCombo,azurerm_route_server.public_ip_address_id == String,azurerm_public_ip.id == String,azurerm_route_server.location == String,azurerm_public_ip.location == String,,,,
azurerm_route_server,"If azurerm_route_server.a.public_ip_address_id depends on azurerm_public_ip.b.id, Then there is azurerm_public_ip.b.sku == Standard",COMBO,ReferenceThenConstantComboUp,azurerm_route_server.public_ip_address_id == String,azurerm_public_ip.id == String,azurerm_public_ip.sku == Standard,,,,,
azurerm_route_server,"If azurerm_route_server.a.public_ip_address_id depends on azurerm_public_ip.b.id, Then there is azurerm_public_ip.b.sku_tier == Regional",COMBO,ReferenceThenConstantComboUp,azurerm_route_server.public_ip_address_id == String,azurerm_public_ip.id == String,azurerm_public_ip.sku_tier == Regional,,,,,
azurerm_route_server,"If azurerm_route_server.a.subnet_id depends on azurerm_subnet.b.id, Then azurerm_subnet.b.address_prefixes range cannot be smaller than 27",COMBO,ReferenceThenCIDRRangeComboUp,azurerm_route_server.subnet_id == String,azurerm_subnet.id == String,azurerm_subnet.address_prefixes == 27,,,,,
azurerm_route_server,"If azurerm_route_server.a.subnet_id depends on azurerm_subnet.b.id, Then there is azurerm_subnet.b.name == RouteServerSubnet",COMBO,ReferenceThenConstantComboUp,azurerm_route_server.subnet_id == String,azurerm_subnet.id == String,azurerm_subnet.name == RouteServerSubnet,,,,,
azurerm_storage_account,"If azurerm_storage_account.a has an ancestor resource azurerm_virtual_network.b, Then azurerm_storage_account.a.location == azurerm_virtual_network.b.location",COMBO,AncestorReferenceThenEqualCombo,azurerm_storage_account.PLACEHOLDER == String,azurerm_virtual_network.PLACEHOLDER == String,azurerm_storage_account.location == String,azurerm_virtual_network.location == String,,,,
azurerm_storage_account,"If azurerm_storage_account.a.blob_properties is not null nor empty, Then there is azurerm_storage_account.a.account_tier == Standard",ATTR,ExistenceThenConstant,azurerm_storage_account.blob_properties == Existence,azurerm_storage_account.account_tier == Standard,,,,,,
azurerm_storage_account,"If azurerm_storage_account.a.static_website is not null nor empty, Then there is azurerm_storage_account.a.account_kind == StorageV2",ATTR,ExistenceThenConstant,azurerm_storage_account.static_website == Existence,azurerm_storage_account.account_kind == StorageV2,,,,,,
azurerm_storage_account,"If there is azurerm_storage_account.a.account_kind == FileStorage, Then there is azurerm_storage_account.a.account_tier == Premium",ATTR,ConstantThenConstant,azurerm_storage_account.account_kind == FileStorage,azurerm_storage_account.account_tier == Premium,,,,,,
azurerm_storage_account,"If there is azurerm_storage_account.a.account_replication_type == RAGRS, Then there is azurerm_storage_account.a.account_kind == StorageV2",ATTR,ConstantThenConstant,azurerm_storage_account.account_replication_type == RAGRS,azurerm_storage_account.account_kind == StorageV2,,,,,,
azurerm_storage_account,"If there is azurerm_storage_account.a.account_tier == Premium, Then there cannot be azurerm_storage_account.a.account_replication_type == GRS",ATTR,ConstantThenNonConstant,azurerm_storage_account.account_tier == Premium,azurerm_storage_account.account_replication_type == GRS,,,,,,
azurerm_subnet,"If azurerm_subnet.a.resource_group_name depends on azurerm_resource_group.b.name, Then azurerm_subnet.a.address_prefixes range cannot be smaller than 29",COMBO,ReferenceThenCIDRRangeComboDown,azurerm_subnet.resource_group_name == String,azurerm_resource_group.name == String,azurerm_subnet.address_prefixes == 29,,,,,
azurerm_subnet,"If both azurerm_subnet.a.virtual_network_name and azurerm_subnet.b.virtual_network_name depends on azurerm_virtual_network.c, Then azurerm_subnet.a.name != azurerm_subnet.b.name",COMBO,BranchThenUnequalCombo,azurerm_subnet.virtual_network_name == String,azurerm_subnet.virtual_network_name == String,azurerm_virtual_network.name == String,azurerm_virtual_network.name == String,azurerm_subnet.name == String,azurerm_subnet.name == String,,
azurerm_virtual_hub_connection,"If azurerm_virtual_hub_connection.a.remote_virtual_network_id depends on azurerm_virtual_network.b.id, Then azurerm_virtual_network.b could only have a single azurerm_virtual_hub_connection that is azurerm_virtual_hub_connection.a",TOPO,ReferenceThenConflictChild,azurerm_virtual_hub_connection.remote_virtual_network_id == String,azurerm_virtual_network.id == String,azurerm_virtual_hub_connection.PLACEHOLDER == String,azurerm_virtual_network.PLACEHOLDER == String,,,,
azurerm_virtual_machine,"If there is azurerm_virtual_machine.a.os_profile_linux_config.disable_password_authentication == false, Then azurerm_virtual_machine.a.os_profile_linux_config.ssh_keys is null or empty",ATTR,ConstantThenAbsence,azurerm_virtual_machine.os_profile_linux_config.disable_password_authentication == false,azurerm_virtual_machine.os_profile_linux_config.ssh_keys == Absence,,,,,,
azurerm_virtual_machine,"If there is azurerm_virtual_machine.a.os_profile_linux_config.disable_password_authentication == true, Then azurerm_virtual_machine.a.os_profile_linux_config.ssh_keys is not null nor empty",ATTR,ConstantThenExistence,azurerm_virtual_machine.os_profile_linux_config.disable_password_authentication == true,azurerm_virtual_machine.os_profile_linux_config.ssh_keys == Existence,,,,,,
azurerm_virtual_machine,"If there is azurerm_virtual_machine.a.vm_size == Standard_D2_v2, Then there cannot be azurerm_virtual_machine.a.storage_os_disk.managed_disk_type == Premium_LRS",ATTR,ConstantThenNonConstant,azurerm_virtual_machine.vm_size == Standard_D2_v2,azurerm_virtual_machine.storage_os_disk.managed_disk_type == Premium_LRS,,,,,,
azurerm_virtual_machine,"If there is azurerm_virtual_machine.a.vm_size == Standard_F2, Then there cannot be azurerm_virtual_machine.a.storage_os_disk.managed_disk_type == Premium_LRS",ATTR,ConstantThenNonConstant,azurerm_virtual_machine.vm_size == Standard_F2,azurerm_virtual_machine.storage_os_disk.managed_disk_type == Premium_LRS,,,,,,
azurerm_virtual_machine_data_disk_attachment,"If azurerm_managed_disk.b and azurerm_linux_virtual_machine.c connected or associated with each other via azurerm_virtual_machine_data_disk_attachment.a, Then azurerm_managed_disk.a.location == azurerm_linux_virtual_machine.b.location",COMBO,AssociateThenEqualCombo,azurerm_virtual_machine_data_disk_attachment.managed_disk_id == String,azurerm_virtual_machine_data_disk_attachment.virtual_machine_id == String,azurerm_managed_disk.id == String,azurerm_linux_virtual_machine.id == String,azurerm_managed_disk.location == String,azurerm_linux_virtual_machine.location == String,,
azurerm_virtual_machine_data_disk_attachment,"If azurerm_managed_disk.b and azurerm_virtual_machine.c connected or associated with each other via azurerm_virtual_machine_data_disk_attachment.a, Then azurerm_managed_disk.a.name != azurerm_virtual_machine.b.storage_os_disk.name",COMBO,AssociateThenUnequalCombo,azurerm_virtual_machine_data_disk_attachment.managed_disk_id == String,azurerm_virtual_machine_data_disk_attachment.virtual_machine_id == String,azurerm_managed_disk.id == String,azurerm_virtual_machine.id == String,azurerm_managed_disk.name == String,azurerm_virtual_machine.storage_os_disk.name == String,,
azurerm_virtual_machine_data_disk_attachment,"If azurerm_managed_disk.b and azurerm_windows_virtual_machine.c connected or associated with each other via azurerm_virtual_machine_data_disk_attachment.a, Then azurerm_managed_disk.a.location == azurerm_windows_virtual_machine.b.location",COMBO,AssociateThenEqualCombo,azurerm_virtual_machine_data_disk_attachment.managed_disk_id == String,azurerm_virtual_machine_data_disk_attachment.virtual_machine_id == String,azurerm_managed_disk.id == String,azurerm_windows_virtual_machine.id == String,azurerm_managed_disk.location == String,azurerm_windows_virtual_machine.location == String,,
azurerm_virtual_machine_data_disk_attachment,"If azurerm_virtual_machine_data_disk_attachment.a.managed_disk_id depends on azurerm_managed_disk.b.id, Then azurerm_managed_disk.b could only have a single azurerm_virtual_machine_data_disk_attachment that is azurerm_virtual_machine_data_disk_attachment.a",TOPO,ReferenceThenConflictChild,azurerm_virtual_machine_data_disk_attachment.managed_disk_id == String,azurerm_managed_disk.id == String,azurerm_virtual_machine_data_disk_attachment.PLACEHOLDER == String,azurerm_managed_disk.PLACEHOLDER == String,,,,
azurerm_virtual_machine_data_disk_attachment,"If azurerm_virtual_machine_data_disk_attachment.a.managed_disk_id depends on azurerm_managed_disk.b.id, Then azurerm_virtual_machine_data_disk_attachment.a.create_option != azurerm_managed_disk.b.create_option",COMBO,ReferenceThenUnequalCombo,azurerm_virtual_machine_data_disk_attachment.managed_disk_id == String,azurerm_managed_disk.id == String,azurerm_virtual_machine_data_disk_attachment.create_option == String,azurerm_managed_disk.create_option == String,,,,
azurerm_virtual_machine_data_disk_attachment,"If azurerm_virtual_machine_data_disk_attachment.a.virtual_machine_id depends on azurerm_virtual_machine.b.id, Then azurerm_virtual_machine.b could only have a single azurerm_virtual_machine_data_disk_attachment that is azurerm_virtual_machine_data_disk_attachment.a",TOPO,ReferenceThenConflictChild,azurerm_virtual_machine_data_disk_attachment.virtual_machine_id == String,azurerm_virtual_machine.id == String,azurerm_virtual_machine_data_disk_attachment.PLACEHOLDER == String,azurerm_virtual_machine.PLACEHOLDER == String,,,,
azurerm_virtual_machine_data_disk_attachment,"If both azurerm_virtual_machine_data_disk_attachment.a.virtual_machine_id and azurerm_virtual_machine_data_disk_attachment.b.virtual_machine_id depends on azurerm_windows_virtual_machine.c, Then azurerm_virtual_machine_data_disk_attachment.a.lun != azurerm_virtual_machine_data_disk_attachment.b.lun",COMBO,BranchThenUnequalCombo,azurerm_virtual_machine_data_disk_attachment.virtual_machine_id == String,azurerm_virtual_machine_data_disk_attachment.virtual_machine_id == String,azurerm_windows_virtual_machine.id == String,azurerm_windows_virtual_machine.id == String,azurerm_virtual_machine_data_disk_attachment.lun == String,azurerm_virtual_machine_data_disk_attachment.lun == String,,
azurerm_virtual_machine_data_disk_attachment,"If there is azurerm_linux_virtual_machine.b.size == Standard_B1s, Then the number of azurerm_virtual_machine_data_disk_attachment that could depend on azurerm_linux_virtual_machine.b is restricted to 2",COMBO,ConstantComboUpThenAggChild,azurerm_linux_virtual_machine.size == Standard_B1s,azurerm_virtual_machine_data_disk_attachment.PLACEHOLDER == 2,azurerm_linux_virtual_machine.PLACEHOLDER == String,,,,,
azurerm_virtual_machine_data_disk_attachment,"If there is azurerm_linux_virtual_machine.b.size == Standard_B2s, Then the number of azurerm_virtual_machine_data_disk_attachment that could depend on azurerm_linux_virtual_machine.b is restricted to 4",COMBO,ConstantComboUpThenAggChild,azurerm_linux_virtual_machine.size == Standard_B2s,azurerm_virtual_machine_data_disk_attachment.PLACEHOLDER == 4,azurerm_linux_virtual_machine.PLACEHOLDER == String,,,,,
azurerm_virtual_machine_data_disk_attachment,"If there is azurerm_linux_virtual_machine.b.size == Standard_D2ps_v5, Then the number of azurerm_virtual_machine_data_disk_attachment that could depend on azurerm_linux_virtual_machine.b is restricted to 4",COMBO,ConstantComboUpThenAggChild,azurerm_linux_virtual_machine.size == Standard_D2ps_v5,azurerm_virtual_machine_data_disk_attachment.PLACEHOLDER == 4,azurerm_linux_virtual_machine.PLACEHOLDER == String,,,,,
azurerm_virtual_machine_data_disk_attachment,"If there is azurerm_linux_virtual_machine.b.size == Standard_D2s_v4, Then the number of azurerm_virtual_machine_data_disk_attachment that could depend on azurerm_linux_virtual_machine.b is restricted to 4",COMBO,ConstantComboUpThenAggChild,azurerm_linux_virtual_machine.size == Standard_D2s_v4,azurerm_virtual_machine_data_disk_attachment.PLACEHOLDER == 4,azurerm_linux_virtual_machine.PLACEHOLDER == String,,,,,
azurerm_virtual_machine_data_disk_attachment,"If there is azurerm_linux_virtual_machine.b.size == Standard_D4_v4, Then the number of azurerm_virtual_machine_data_disk_attachment that could depend on azurerm_linux_virtual_machine.b is restricted to 8",COMBO,ConstantComboUpThenAggChild,azurerm_linux_virtual_machine.size == Standard_D4_v4,azurerm_virtual_machine_data_disk_attachment.PLACEHOLDER == 8,azurerm_linux_virtual_machine.PLACEHOLDER == String,,,,,
azurerm_virtual_network,"If both azurerm_virtual_network.a.resource_group_name and azurerm_virtual_network.b.resource_group_name depends on azurerm_resource_group.c, Then azurerm_virtual_network.a.name != azurerm_virtual_network.b.name",COMBO,BranchThenUnequalCombo,azurerm_virtual_network.resource_group_name == String,azurerm_virtual_network.resource_group_name == String,azurerm_resource_group.name == String,azurerm_resource_group.name == String,azurerm_virtual_network.name == String,azurerm_virtual_network.name == String,,
azurerm_virtual_network_gateway,"If azurerm_virtual_network_gateway.a.bgp_settings is not null nor empty, Then azurerm_virtual_network_gateway.a.ip_configuration.name != azurerm_virtual_network_gateway.a.ip_configuration.name",ATTR,ExistenceThenUnequal,azurerm_virtual_network_gateway.bgp_settings == Existence,azurerm_virtual_network_gateway.ip_configuration.name == String,azurerm_virtual_network_gateway.ip_configuration.name == String,,,,,
azurerm_virtual_network_gateway,"If azurerm_virtual_network_gateway.a.ip_configuration.0.public_ip_address_id depends on azurerm_public_ip.b.id, Then azurerm_virtual_network_gateway.a.location == azurerm_public_ip.b.location",COMBO,ReferenceThenEqualCombo,azurerm_virtual_network_gateway.ip_configuration.0.public_ip_address_id == String,azurerm_public_ip.id == String,azurerm_virtual_network_gateway.location == String,azurerm_public_ip.location == String,,,,
azurerm_virtual_network_gateway,"If azurerm_virtual_network_gateway.a.ip_configuration.0.subnet_id depends on azurerm_subnet.b.id, Then azurerm_subnet.b.delegation is null or empty",COMBO,ReferenceThenAbsenceComboUp,azurerm_virtual_network_gateway.ip_configuration.0.subnet_id == String,azurerm_subnet.id == String,azurerm_subnet.delegation == Absence,,,,,
azurerm_virtual_network_gateway,"If there is azurerm_virtual_network_gateway.a.active_active == false, Then the number of azurerm_public_ip that azurerm_virtual_network_gateway.a could depend on is restricted to 1",COMBO,ConstantComboDownThenAggParent,azurerm_virtual_network_gateway.active_active == false,azurerm_virtual_network_gateway.PLACEHOLDER == String,azurerm_public_ip.PLACEHOLDER == 1,,,,,
azurerm_virtual_network_gateway,"If there is azurerm_virtual_network_gateway.a.active_active == true, Then the number of azurerm_public_ip that azurerm_virtual_network_gateway.a could depend on is restricted to 2",COMBO,ConstantComboDownThenAggParent,azurerm_virtual_network_gateway.active_active == true,azurerm_virtual_network_gateway.PLACEHOLDER == String,azurerm_public_ip.PLACEHOLDER == 2,,,,,
azurerm_virtual_network_gateway,"If there is azurerm_virtual_network_gateway.a.sku == Basic, Then there is azurerm_virtual_network_gateway.a.active_active == false",ATTR,ConstantThenConstant,azurerm_virtual_network_gateway.sku == Basic,azurerm_virtual_network_gateway.active_active == false,,,,,,
azurerm_virtual_network_gateway,"If there is azurerm_virtual_network_gateway.a.sku == Standard, Then azurerm_virtual_network_gateway.a.vpn_client_configuration.address_space range cannot be smaller than 27",ATTR,ConstantThenCIDRRange,azurerm_virtual_network_gateway.sku == Standard,azurerm_virtual_network_gateway.vpn_client_configuration.address_space == 27,,,,,,
azurerm_virtual_network_gateway,"If there is azurerm_virtual_network_gateway.a.sku == VpnGw3, Then there cannot be azurerm_virtual_network_gateway.a.vpn_type == PolicyBased",ATTR,ConstantThenNonConstant,azurerm_virtual_network_gateway.sku == VpnGw3,azurerm_virtual_network_gateway.vpn_type == PolicyBased,,,,,,
azurerm_virtual_network_gateway,"If there is azurerm_virtual_network_gateway.a.sku == VpnGw3, Then there is azurerm_virtual_network_gateway.a.type == Vpn",ATTR,ConstantThenConstant,azurerm_virtual_network_gateway.sku == VpnGw3,azurerm_virtual_network_gateway.type == Vpn,,,,,,
azurerm_virtual_network_gateway,"If there is azurerm_virtual_network_gateway.a.type == ExpressRoute, Then azurerm_virtual_network_gateway.a.vpn_client_configuration is null or empty",ATTR,ConstantThenAbsence,azurerm_virtual_network_gateway.type == ExpressRoute,azurerm_virtual_network_gateway.vpn_client_configuration == Absence,,,,,,
azurerm_virtual_network_gateway_connection,"If azurerm_local_network_gateway.b and azurerm_virtual_network_gateway.c connected or associated with each other via azurerm_virtual_network_gateway_connection.a, Then both azurerm_local_network_gateway.b.resource_group_name and azurerm_virtual_network_gateway.c.resource_group_name depends on azurerm_resource_group.d",TOPO,AssociateThenBranch,azurerm_virtual_network_gateway_connection.local_network_gateway_id == String,azurerm_virtual_network_gateway_connection.virtual_network_gateway_id == String,azurerm_local_network_gateway.id == String,azurerm_virtual_network_gateway.id == String,azurerm_local_network_gateway.resource_group_name == String,azurerm_virtual_network_gateway.resource_group_name == String,azurerm_resource_group.name == String,azurerm_resource_group.name == String
azurerm_virtual_network_gateway_connection,"If azurerm_public_ip.b and azurerm_public_ip.c connected or associated with each other via azurerm_virtual_network_gateway_connection.a, Then azurerm_public_ip.a.sku == azurerm_public_ip.b.sku",COMBO,AncestorAssociateThenEqualCombo,azurerm_virtual_network_gateway_connection.PLACEHOLDER == String,azurerm_virtual_network_gateway_connection.PLACEHOLDER == String,azurerm_public_ip.PLACEHOLDER == String,azurerm_public_ip.PLACEHOLDER == String,azurerm_public_ip.sku == String,azurerm_public_ip.sku == String,,
azurerm_virtual_network_gateway_connection,"If azurerm_virtual_network_gateway_connection.a.local_network_gateway_id depends on azurerm_local_network_gateway.b.id, Then there is azurerm_virtual_network_gateway_connection.a.type == IPsec",COMBO,ReferenceThenConstantComboDown,azurerm_virtual_network_gateway_connection.local_network_gateway_id == String,azurerm_local_network_gateway.id == String,azurerm_virtual_network_gateway_connection.type == IPsec,,,,,
azurerm_virtual_network_gateway_connection,"If there is azurerm_virtual_network_gateway_connection.a.type == ExpressRoute, Then azurerm_virtual_network_gateway_connection.a.peer_virtual_network_gateway_id is null (i.e. it does not refer to azurerm_virtual_network_gateway.id)",COMBO,ConstantComboDownThenNegation,azurerm_virtual_network_gateway_connection.type == ExpressRoute,azurerm_virtual_network_gateway_connection.peer_virtual_network_gateway_id == String,azurerm_virtual_network_gateway.id == String,,,,,
azurerm_virtual_network_gateway_connection,"If there is azurerm_virtual_network_gateway_connection.a.type == IPsec, Then azurerm_virtual_network_gateway_connection.a.express_route_circuit_id is null (i.e. it does not refer to azurerm_express_route_circuit.id)",COMBO,ConstantComboDownThenNegation,azurerm_virtual_network_gateway_connection.type == IPsec,azurerm_virtual_network_gateway_connection.express_route_circuit_id == String,azurerm_express_route_circuit.id == String,,,,,
azurerm_virtual_network_gateway_connection,"If there is azurerm_virtual_network_gateway_connection.a.type == Vnet2Vnet, Then azurerm_virtual_network_gateway_connection.a.local_network_gateway_id is null (i.e. it does not refer to azurerm_local_network_gateway.id)",COMBO,ConstantComboDownThenNegation,azurerm_virtual_network_gateway_connection.type == Vnet2Vnet,azurerm_virtual_network_gateway_connection.local_network_gateway_id == String,azurerm_local_network_gateway.id == String,,,,,
azurerm_virtual_network_peering,"If azurerm_virtual_network_peering.a.remote_virtual_network_id depends on azurerm_virtual_network.b.id, Then azurerm_virtual_network.b and azurerm_virtual_network.c connected or associated with each other via azurerm_virtual_network_peering.a",TOPO,ReferenceThenAssociate,azurerm_virtual_network_peering.remote_virtual_network_id == String,azurerm_virtual_network.id == String,azurerm_virtual_network_peering.remote_virtual_network_id == String,azurerm_virtual_network_peering.virtual_network_name == String,azurerm_virtual_network.id == String,azurerm_virtual_network.name == String,,
